,number,pokemon_name,pic_url,main_type,secondary_type,region,category,pokemon_family,attack,defense,stamina,flee_rate,wild_avail,egg_avail,raid_avail,research_avail,shiny,shadow,pkedex_desc,poss_attacks,CP_Min,CP_Max,HP_Min,HP_Max,Porcentagem_masculino,Porcentagem_feminino,Tx_captura,Fire_weakness,Flying_weakness,Ice_weakness,Psychic_weakness,Ground_weakness,Rock_weakness,Water_weakness,Electric_weakness,Grass_weakness,Fighting_weakness,Poison_weakness,Steel_weakness,Bug_weakness,Fairy_weakness,Dark_weakness,Ghost_weakness,Dragon_weakness,0_weakness,Electric_resistance,Fairy_resistance,Fighting_resistance,Water_resistance,Grass_resistance,Bug_resistance,Fire_resistance,Ice_resistance,Steel_resistance,Ground_resistance,Poison_resistance,Ghost_resistance,Flying_resistance,Rock_resistance,Dark_resistance,Dragon_resistance,Psychic_resistance,Normal_resistance,0_resistance
165,166,Ledian,https://static.wikia.nocookie.net/pokemongo/images/e/ee/Ledian.png,Bug,Flying,Johto,Five,Ledyba family,107,179,146,7%,Yes ,No,No  ,No,Yes,No,"It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this—the Pokémon uses the light of the stars as its energy.","['Bug Bite', 'Struggle Bug', 'Aerial Ace', 'Bug Buzz', 'Silver Wind']",1346,1346,13,127,50.0,50.0,15.0,-160.0,-160.0,-160.0,0.0,0.0,-256.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,62.5,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,167,Spinarak,https://static.wikia.nocookie.net/pokemongo/images/a/aa/Spinarak.png,Bug,Poison,Johto,String,Spinarak family,105,73,120,20%,Yes ,No,No  ,Yes ,Yes,No,The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web's strands.,"['Bug Bite', 'Poison Sting', 'Cross Poison', 'Night Slash', 'Signal Beam']",816,816,11,106,50.0,50.0,50.0,-160.0,-160.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,39.0,0.0,39.0,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,168,Ariados,https://static.wikia.nocookie.net/pokemongo/images/2/29/Ariados.png,Bug,Poison,Johto,Long,Spinarak family,161,124,172,7%,Yes ,No,Formerly  (3rd tier level),No,Yes,No,Ariados's feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.,"['Infestation', 'Poison Sting', 'Cross Poison', 'Lunge', 'Megahorn', 'Shadow Sneak']",1772,1772,16,147,50.0,50.0,15.0,-160.0,-160.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,39.0,0.0,39.0,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,169,Crobat,https://static.wikia.nocookie.net/pokemongo/images/4/4d/Crobat.png,Poison,Flying,Johto,Bat,Zubat family,194,178,198,5%,Yes ,No,No  ,No,Yes,Yes,"If this Pokémon is flying by fluttering only a pair of wings on either the forelegs or hind legs, it's proof that Crobat has been flying a long distance. It switches the wings it uses if it is tired.","['Air Slash', 'Bite', 'Air Cutter', 'Cross Poison', 'Poison Fang', 'Shadow Ball', 'Sludge Bomb']",2646,2646,18,168,50.0,50.0,10.0,0.0,0.0,-160.0,-160.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,39.0,0.0,39.0,39.0,0.0,0.0,0.0,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,170,Chinchou,https://static.wikia.nocookie.net/pokemongo/images/b/b1/Chinchou.png,Water,Electric,Johto,Angler,Chinchou family,106,97,181,10%,Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,Chinchou lets loose positive and negative electrical charges from its two antennas to make its prey faint. This Pokémon flashes its electric lights to exchange signals with others.,"['Bubble', 'Spark', 'Bubble Beam', 'Thunderbolt', 'Water Pulse']",1119,1119,17,154,50.0,50.0,40.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,39.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0
170,171,Lanturn,https://static.wikia.nocookie.net/pokemongo/images/1/16/Lanturn.png,Water,Electric,Johto,Light,Chinchou family,146,137,268,7%,Yes ,No,Formerly  (2nd tier level),Formerly ,Yes,No,Lanturn is nicknamed “the deep-sea star” for its illuminated antenna. This Pokémon produces light by causing a chemical reaction between bacteria and its bodily fluids inside the antenna.,"['Charge Beam', 'Spark', 'Water Gun', 'Hydro Pump', 'Thunder', 'Thunderbolt']",2085,2085,25,223,50.0,50.0,15.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,39.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0
171,172,Pichu,https://static.wikia.nocookie.net/pokemongo/images/9/9d/Pichu.png,Electric,0,Johto,Tiny,Pikachu family,77,53,85,0,No ,No,No  ,No,Yes,No,Pichu charges itself with electricity more easily on days with thunderclouds or when the air is very dry. You can hear the crackling of static electricity coming off this Pokémon.,"['Thunder Shock', 'Quick Attack', 'Disarming Voice', 'Thunder Punch', 'Thunderbolt']",473,473,10,79,50.0,50.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0
172,173,Cleffa,https://static.wikia.nocookie.net/pokemongo/images/a/a7/Cleffa.png,Fairy,0,Johto,Star,Clefairy family,75,79,137,0,No ,No,No  ,No,Yes,No,"On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew.","['Pound', 'Zen Headbutt', 'Grass Knot', 'Psyshock', 'Signal Beam', 'Body Slam', 'Psychic']",671,671,12,120,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,39.0,0.0,0.0,0.0
173,174,Igglybuff,https://static.wikia.nocookie.net/pokemongo/images/5/5b/Igglybuff.png,Normal,Fairy,Johto,Balloon,Jigglypuff family,69,32,207,0,No ,No,No  ,No,Yes,No,Igglybuff's vocal cords are not sufficiently developed. It would hurt its throat if it were to sing too much. This Pokémon gargles with freshwater from a clean stream.,"['Feint Attack', 'Pound', 'Psychic', 'Shadow Ball', 'Wild Charge', 'Body Slam']",535,535,19,175,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,62.5,39.0,0.0,0.0,0.0
174,175,Togepi,https://static.wikia.nocookie.net/pokemongo/images/f/ff/Togepi.png,Fairy,0,Johto,Spike,Togepi family,67,116,111,0,No ,No,No  ,No,Yes,No,"As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others.","['Hidden Power', 'Peck', 'Zen Headbutt', 'Ancient Power', 'Dazzling Gleam', 'Psyshock']",657,657,10,99,87.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,39.0,0.0,0.0,0.0
175,176,Togetic,https://static.wikia.nocookie.net/pokemongo/images/a/a7/Togetic.png,Fairy,Flying,Johto,Happiness,Togepi family,139,181,146,5%,Yes ,No,Formerly  (3rd tier level),No,Yes,No,"Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person.","['Extrasensory', 'Hidden Power', 'Steel Wing', 'Zen Headbutt', 'Aerial Ace', 'Ancient Power', 'Dazzling Gleam']",1708,1708,13,127,87.5,12.5,5.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,62.5,39.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,62.5,39.0,0.0,0.0,0.0
176,177,Natu,https://static.wikia.nocookie.net/pokemongo/images/6/69/Natu.png,Psychic,Flying,Johto,Tiny,Natu family,134,89,120,15%,Yes ,No,No  ,Formerly ,Yes,No,"Natu cannot fly because its wings are not yet fully grown. If your eyes meet with this Pokémon's eyes, it will stare back intently at you. But if you move even slightly, it will hop away to safety.","['Peck', 'Quick Attack', 'Drill Peck', 'Night Shade', 'Psyshock']",1102,1102,11,106,50.0,50.0,40.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,39.0,0.0,62.5,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0
177,178,Xatu,https://static.wikia.nocookie.net/pokemongo/images/e/e0/Xatu.png,Psychic,Flying,Johto,Mystic,Natu family,192,146,163,7%,Yes ,No,Formerly  (3rd tier level),No,Yes,No,Xatu stands rooted and still in one spot all day long. People believe that this Pokémon does so out of fear of the terrible things it has foreseen in the future.,"['Air Slash', 'Feint Attack', 'Aerial Ace', 'Future Sight', 'Ominous Wind']",2188,2188,15,140,50.0,50.0,15.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,39.0,0.0,62.5,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0
178,179,Mareep,https://static.wikia.nocookie.net/pokemongo/images/d/da/Mareep.png,Electric,0,Johto,Wool,Mareep family,114,79,146,10%,Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Mareep's fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows.","['Tackle', 'Thunder Shock', 'Body Slam', 'Discharge', 'Thunderbolt']",991,991,13,127,50.0,50.0,50.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0
179,180,Flaaffy,https://static.wikia.nocookie.net/pokemongo/images/e/ed/Flaaffy.png,Electric,0,Johto,Wool,Mareep family,145,109,172,7%,Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,Flaaffy's wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.,"['Charge Beam', 'Tackle', 'Discharge', 'Power Gem', 'Thunderbolt']",1521,1521,16,147,50.0,50.0,25.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0
180,181,Ampharos,https://static.wikia.nocookie.net/pokemongo/images/f/f5/Ampharos.png,Electric,0,Johto,Light,Mareep family,211,169,207,5%,Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,"Standard Pokédex description
Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.","['Charge Beam', 'Volt Switch', 'Focus Blast', 'Power Gem', 'Thunder', 'Thunder Punch', 'Zap Cannon', 'Dragon Pulse']",2852,2852,19,175,50.0,50.0,12.5,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0
181,182,Bellossom,https://static.wikia.nocookie.net/pokemongo/images/e/ed/Bellossom.png,Grass,0,Johto,Flower,Oddish family,169,186,181,5%,No ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,"When Bellossom gets exposed to plenty of sunlight, the leaves ringing its body begin to spin around. This Pokémon's dancing is renowned in the southern lands.","['Acid', 'Bullet Seed', 'Razor Leaf', 'Dazzling Gleam', 'Leaf Blade', 'Petal Blizzard']",2281,2281,17,154,50.0,50.0,5.0,-160.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,183,Marill,https://static.wikia.nocookie.net/pokemongo/images/5/55/Marill.png,Water,Fairy,Johto,Aqua,Marill family,37,93,172,10%,Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,"Marill's oil-filled tail acts much like a life preserver. If you see just its tail bobbing on the water's surface, it's a sure indication that this Pokémon is diving beneath the water to feed on aquatic plants.","['Bubble', 'Tackle', 'Aqua Tail', 'Body Slam', 'Bubble Beam']",461,461,16,147,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,62.5,39.0,0.0,0.0,0.0
183,184,Azumarill,https://static.wikia.nocookie.net/pokemongo/images/1/1a/Azumarill.png,Water,Fairy,Johto,Aqua,Marill family,112,152,225,7%,Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,"Azumarill's long ears are indispensable sensors. By focusing its hearing, this Pokémon can identify what kinds of prey are around, even in rough and fast-running rivers.","['Bubble', 'Rock Smash', 'Hydro Pump', 'Ice Beam', 'Play Rough']",1588,1588,21,189,50.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,62.5,39.0,0.0,0.0,0.0
184,185,Sudowoodo,https://static.wikia.nocookie.net/pokemongo/images/1/13/Sudowoodo.png,Rock,0,Johto,Imitation,Sudowoodo family,167,176,172,5%,Yes ,No,Formerly  (3rd tier level),Yes ,Yes,Yes,"Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter.","['Counter', 'Rock Throw', 'Earthquake', 'Rock Slide', 'Rock Tomb', 'Stone Edge']",2148,2148,16,147,50.0,50.0,12.5,0.0,0.0,0.0,0.0,-160.0,0.0,-160.0,0.0,-160.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,62.5,0.0,62.5,0.0,0.0,0.0,0.0,62.5,0.0
185,186,Politoed,https://static.wikia.nocookie.net/pokemongo/images/f/fd/Politoed.png,Water,0,Johto,Frog,Poliwag family,174,179,207,5%,No ,No,No  ,No,Yes,Yes,"The curled hair on Politoed's head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers.","['Bubble', 'Mud Shot', 'Blizzard', 'Hydro Pump', 'Surf', 'Weather Ball', 'Earthquake']",2449,2449,19,175,50.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,187,Hoppip,https://static.wikia.nocookie.net/pokemongo/images/9/90/Hoppip.png,Grass,Flying,Johto,Cottonweed,Hoppip family,67,94,111,12%,Yes ,No,No  ,Yes ,Yes,Yes,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.","['Bullet Seed', 'Tackle', 'Dazzling Gleam', 'Grass Knot', 'Seed Bomb']",600,600,10,99,50.0,50.0,50.0,-160.0,-160.0,-256.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,39.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,188,Skiploom,https://static.wikia.nocookie.net/pokemongo/images/f/f1/Skiploom.png,Grass,Flying,Johto,Cottonweed,Hoppip family,91,120,146,7%,Yes ,No,No  ,Formerly ,Yes,Yes,"Skiploom's flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.","['Bullet Seed', 'Tackle', 'Dazzling Gleam', 'Energy Ball', 'Grass Knot']",976,976,13,127,50.0,50.0,25.0,-160.0,-160.0,-256.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,39.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,189,Jumpluff,https://static.wikia.nocookie.net/pokemongo/images/4/43/Jumpluff.png,Grass,Flying,Johto,Cottonweed,Hoppip family,118,183,181,5%,Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,"['Bullet Seed', 'Infestation', 'Aerial Ace', 'Dazzling Gleam', 'Energy Ball', 'Solar Beam', 'Acrobatics']",1636,1636,17,154,50.0,50.0,12.5,-160.0,-160.0,-256.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,39.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,190,Aipom,https://static.wikia.nocookie.net/pokemongo/images/b/bd/Aipom.png,Normal,0,Johto,Long,Aipom family,136,112,146,9%,Yes ,No,Formerly  (2nd tier level),Formerly ,Yes,Yes,"Aipom's tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy.","['Astonish', 'Scratch', 'Aerial Ace', 'Low Sweep', 'Swift']",1348,1348,13,127,50.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,191,Sunkern,https://static.wikia.nocookie.net/pokemongo/images/d/de/Sunkern.png,Grass,0,Johto,Seed,Sunkern family,55,55,102,9%,Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.","['Cut', 'Razor Leaf', 'Energy Ball', 'Grass Knot', 'Seed Bomb']",395,395,10,92,50.0,50.0,50.0,-160.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,192,Sunflora,https://static.wikia.nocookie.net/pokemongo/images/7/70/Sunflora.png,Grass,0,Johto,Sun,Sunkern family,185,135,181,7%,No ,No,Formerly  (2nd tier level),No,Yes,No,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,"['Bullet Seed', 'Razor Leaf', 'Leaf Storm', 'Petal Blizzard', 'Sludge Bomb', 'Solar Beam']",2141,2141,17,154,50.0,50.0,10.0,-160.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,193,Yanma,https://static.wikia.nocookie.net/pokemongo/images/c/c4/Yanma.png,Bug,Flying,Johto,Clear,Yanma family,154,94,163,10%,Yes ,No,Formerly  (1st tier level),Yes ,Yes,No,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.,"['Quick Attack', 'Wing Attack', 'Aerial Ace', 'Ancient Power', 'Silver Wind']",1470,1470,15,140,50.0,50.0,30.0,-160.0,-160.0,-160.0,0.0,0.0,-256.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,62.5,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,194,Wooper,https://static.wikia.nocookie.net/pokemongo/images/4/42/Wooper.png,Water,Ground,Johto,Water,Wooper family,75,66,146,10%,Yes ,No,No  ,Formerly ,Yes,Yes,"Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.","['Mud Shot', 'Water Gun', 'Body Slam', 'Dig', 'Mud Bomb']",641,641,13,127,50.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,62.5,0.0,62.5,0.0,62.5,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0
194,195,Quagsire,https://static.wikia.nocookie.net/pokemongo/images/1/1b/Quagsire.png,Water,Ground,Johto,Water,Wooper family,152,143,216,7%,Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,"Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry.","['Mud Shot', 'Water Gun', 'Acid Spray', 'Earthquake', 'Sludge Bomb', 'Stone Edge']",1992,1992,20,182,50.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,62.5,0.0,62.5,0.0,62.5,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0
195,196,Espeon,https://static.wikia.nocookie.net/pokemongo/images/e/ef/Espeon.png,Psychic,0,Johto,Sun,Eevee family,261,175,163,5%,No ,No,Formerly  (3rd tier level),Formerly ,Yes,No,Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.,"['Confusion', 'Zen Headbutt', 'Future Sight', 'Psybeam', 'Psychic', 'Last Resort', 'Shadow Ball']",3170,3170,15,140,87.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0
196,197,Umbreon,https://static.wikia.nocookie.net/pokemongo/images/9/9f/Umbreon.png,Dark,0,Johto,Moonlight,Eevee family,126,240,216,5%,No ,No,Formerly  (3rd tier level),Formerly ,Yes,No,Umbreon evolved as a result of exposure to the moon's waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.,"['Feint Attack', 'Snarl', 'Dark Pulse', 'Foul Play', 'Last Resort', 'Psychic']",2137,2137,20,182,87.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,0.0,39.0,0.0,0.0
197,198,Murkrow,https://static.wikia.nocookie.net/pokemongo/images/5/5c/Murkrow.png,Dark,Flying,Johto,Darkness,Murkrow family,175,87,155,10%,Yes ,No,Formerly  (1st tier level),Yes ,Yes,Yes,Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.,"['Feint Attack', 'Peck', 'Dark Pulse', 'Drill Peck', 'Foul Play']",1562,1562,14,134,50.0,50.0,20.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,39.0,0.0,62.5,0.0,0.0,62.5,0.0,39.0,0.0,0.0
198,199,Slowking,https://static.wikia.nocookie.net/pokemongo/images/c/c5/Slowking.png,Water,Psychic,Johto,Royal,Slowpoke family,177,180,216,5%,No ,No,Formerly  (3rd tier level),No,Yes,Yes,"Standard Pokédex description
Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off.","['Confusion', 'Water Gun', 'Blizzard', 'Fire Blast', 'Psychic', 'Acid', 'Confusion', 'Hex', 'Future Sight', 'Shadow Ball', 'Sludge Wave']",2545,2545,20,182,50.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,-160.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0
